Date,Item No.,Vegetable,Quantity (kg),Price per kg (₱),Total Sales (₱)
2025-12-01,1,Carrots,30.0,70,2100.0
2025-12-01,2,Chili,40.0,220,8800.0
2025-12-01,3,Lettuce,7.0,65,455.0
2025-12-01,4,Potatoes,10.0,60,600.0
2025-12-01,3,Lettuce,8.0,65,520.0
2025-12-01,5,Tomatoes,31.0,80,2480.0
2025-12-02,4,Potatoes,22.0,60,1320.0
2025-12-02,1,Carrots,43.0,70,3010.0
2025-12-02,6,Malunggay,31.0,40,1240.0
2025-12-02,7,Onions,26.0,90,2340.0
2025-12-02,2,Chili,37.0,220,8140.0
2025-12-03,1,Carrots,5.0,70,350.0
2025-12-03,8,Garlic,15.0,200,3000.0
2025-12-03,9,Ampalaya,30.0,120,3600.0
2025-12-03,10,Cabbage,28.0,50,1400.0
2025-12-03,6,Malunggay,50.0,40,2000.0
2025-12-03,7,Onions,7.0,90,630.0
2025-12-04,11,Pechay,9.0,55,495.0
2025-12-04,3,Lettuce,45.0,65,2925.0
2025-12-04,9,Ampalaya,18.0,120,2160.0
2025-12-05,7,Onions,12.0,90,1080.0
2025-12-05,12,Ginger,19.0,180,3420.0
2025-12-05,6,Malunggay,20.0,40,800.0
2025-12-05,1,Carrots,22.0,70,1540.0
2025-12-05,4,Potatoes,27.0,60,1620.0
2025-12-06,8,Garlic,43.0,200,8600.0
2025-12-06,8,Garlic,30.0,200,6000.0
2025-12-06,7,Onions,17.0,90,1530.0
2025-12-06,5,Tomatoes,49.0,80,3920.0
2025-12-07,3,Lettuce,25.0,65,1625.0
2025-12-07,13,Bell Pepper,42.0,150,6300.0
2025-12-07,11,Pechay,15.0,55,825.0
2025-12-07,1,Carrots,6.0,70,420.0
2025-12-08,1,Carrots,42.0,70,2940.0
2025-12-08,12,Ginger,31.0,180,5580.0
2025-12-08,9,Ampalaya,17.0,120,2040.0
2025-12-08,7,Onions,34.0,90,3060.0
2025-12-08,7,Onions,6.0,90,540.0
2025-12-09,14,String Beans,26.0,100,2600.0
2025-12-09,2,Chili,29.0,220,6380.0
2025-12-09,14,String Beans,32.0,100,3200.0
2025-12-09,4,Potatoes,38.0,60,2280.0
2025-12-10,9,Ampalaya,34.0,120,4080.0
2025-12-10,15,Eggplant,23.0,75,1725.0
2025-12-10,12,Ginger,25.0,180,4500.0
2025-12-10,10,Cabbage,49.0,50,2450.0
2025-12-10,13,Bell Pepper,6.0,150,900.0
2025-12-10,13,Bell Pepper,29.0,150,4350.0
2025-12-11,11,Pechay,25.0,55,1375.0
2025-12-11,11,Pechay,29.0,55,1595.0
2025-12-11,4,Potatoes,36.0,60,2160.0
2025-12-11,6,Malunggay,45.0,40,1800.0
2025-12-12,1,Carrots,26.0,70,1820.0
2025-12-12,13,Bell Pepper,26.0,150,3900.0
2025-12-12,12,Ginger,36.0,180,6480.0
2025-12-13,7,Onions,39.0,90,3510.0
2025-12-13,8,Garlic,7.0,200,1400.0
2025-12-13,7,Onions,18.0,90,1620.0
2025-12-13,8,Garlic,7.0,200,1400.0
2025-12-13,9,Ampalaya,46.0,120,5520.0
2025-12-14,5,Tomatoes,25.0,80,2000.0
2025-12-14,13,Bell Pepper,31.0,150,4650.0
2025-12-14,4,Potatoes,28.0,60,1680.0
2025-12-15,1,Carrots,21.0,70,1470.0
2025-12-15,9,Ampalaya,21.0,120,2520.0
2025-12-15,13,Bell Pepper,47.0,150,7050.0
2025-12-16,15,Eggplant,11.0,75,825.0
2025-12-16,14,String Beans,18.0,100,1800.0
2025-12-16,10,Cabbage,33.0,50,1650.0
